Sekunden;Gas;Aussen;Kessel;Wasser;Relais;Programm;;Status;;;Tag
1768965571;6225,15;-3,25;46,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965574;6225,15;-3,25;47,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965579;6225,15;-3,25;47,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965581;6225,15;-3,25;48,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965584;6225,15;-3,25;48,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965588;6225,15;-3,25;49,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965589;6225,15;-3,25;49,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965593;6225,15;-3,25;50,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965595;6225,15;-3,25;50,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965598;6225,15;-3,25;51,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965603;6225,15;-3,25;51,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965605;6225,15;-3,25;52,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965608;6225,15;-3,25;52,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965612;6225,15;-3,25;53,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965613;6225,15;-3,25;53,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965617;6225,15;-3,25;54,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965620;6225,15;-3,25;54,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965623;6225,15;-3,25;55,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965630;6225,15;-3,25;55,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965633;6225,15;-3,25;56,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965637;6225,15;-3,25;56,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965642;6225,15;-3,25;57,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965650;6225,15;-3,25;57,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965656;6225,15;-3,25;58,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965661;6225,15;-3,25;58,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965667;6225,15;-3,25;59,0;27,0;0xd0;0x00;;0x05;;;0x84
1768965678;6225,15;-3,25;59,5;27,0;0xd0;0x00;;0x05;;;0x84
1768965689;6225,15;-3,25;60,0;27,0;0xd0;0x00;;0x05;;;0x84
